Branch,ISE 1 Marks,ISE 2 Marks,MSE Marks,ESE Marks
CSE-DS,6,8,23,67
EXTC,5,3,12,40
EXTC,9,7,23,51
COMPS,5,7,19,60
COMPS,7,9,22,67
CSE-DS,7,9,19,67
CSE-DS,6,7,18,60
COMPS,8,10,26,67
COMPS,6,6,16,54
EXTC,8,6,22,70
EXTC,5,6,20,69
COMPS,7,6,20,59
EXTC,3,5,15,58
CSE-AIML,6,5,17,46
CSE-DS,10,8,23,65
EXTC,8,7,19,71
CSE-AIML,8,7,23,86
COMPS,10,8,27,78
EXTC,7,5,18,54
COMPS,8,8,19,61
CSE-DS,8,6,22,69
COMPS,7,6,17,50
CSE-AIML,8,7,21,62
COMPS,6,8,20,53
CSE-AIML,8,6,21,77
EXTC,6,7,18,58
EXTC,7,5,19,62
CSE-AIML,7,8,22,78
CSE-DS,5,7,19,53
CSE-DS,8,10,24,74
CSE-DS,7,5,15,50
EXTC,4,6,16,54
EXTC,8,6,19,62
CSE-DS,8,7,22,67
COMPS,7,7,19,62
CSE-DS,5,7,18,79
COMPS,6,4,16,60
CSE-DS,9,7,20,69
COMPS,4,6,16,56
EXTC,8,6,20,63
CSE-DS,7,7,21,71
CSE-DS,7,7,18,60
CSE-AIML,7,8,20,58
CSE-DS,6,7,21,62
COMPS,8,7,21,63
CSE-AIML,8,7,25,65
CSE-DS,7,6,18,60
CSE-DS,7,9,22,58
EXTC,7,5,18,60
CSE-AIML,8,8,22,65
COMPS,5,5,17,48
CSE-DS,6,5,18,74
EXTC,5,4,15,55
CSE-DS,7,6,19,64
CSE-AIML,8,6,20,65
COMPS,5,7,17,58
EXTC,7,6,16,53
CSE-DS,8,6,19,68
COMPS,6,6,19,67
CSE-DS,10,8,26,69
CSE-DS,5,7,19,53
CSE-AIML,6,7,20,67
CSE-AIML,7,6,19,53
CSE-DS,9,7,22,60
EXTC,10,8,24,73
CSE-AIML,7,8,25,75
CSE-AIML,5,6,18,76
CSE-AIML,4,6,17,64
CSE-AIML,6,5,19,66
COMPS,8,6,20,51
CSE-DS,8,7,20,59
COMPS,6,4,15,46
COMPS,6,5,15,70
CSE-DS,8,6,21,68
CSE-AIML,8,6,22,62
EXTC,4,6,19,81
CSE-AIML,5,7,18,66
CSE-AIML,4,5,14,54
CSE-AIML,6,7,21,69
CSE-AIML,9,7,20,73
EXTC,6,8,23,71
COMPS,4,5,18,58
EXTC,7,8,23,70
CSE-DS,6,6,20,67
CSE-AIML,6,8,20,57
EXTC,5,5,16,66
CSE-DS,5,7,17,56
EXTC,4,6,16,61
CSE-AIML,7,5,20,65
CSE-AIML,7,6,19,63
CSE-DS,7,5,18,58
EXTC,7,8,20,59
CSE-AIML,6,5,17,64
CSE-DS,5,7,16,52
EXTC,6,8,20,46
EXTC,4,6,18,62
CSE-DS,7,8,21,72
EXTC,4,5,12,48
EXTC,6,7,20,56
CSE-AIML,6,4,19,59
CSE-AIML,6,8,18,52
CSE-AIML,5,6,18,66
CSE-DS,10,8,26,69
COMPS,6,6,17,71
EXTC,8,7,24,58
CSE-DS,5,3,13,53
COMPS,7,7,18,66
COMPS,7,8,18,62
CSE-DS,5,6,18,60
COMPS,5,7,16,65
CSE-AIML,6,8,20,59
CSE-DS,5,7,17,63
EXTC,6,4,16,48
CSE-AIML,7,5,20,62
EXTC,6,7,21,64
COMPS,5,4,14,48
CSE-AIML,7,6,21,60
EXTC,6,8,21,64
CSE-DS,6,6,17,54
COMPS,8,6,18,73
EXTC,7,5,18,60
COMPS,9,7,24,80
EXTC,6,6,17,56
CSE-DS,6,7,21,59
CSE-AIML,4,6,17,60
EXTC,6,7,22,69
COMPS,6,6,18,72
CSE-DS,6,6,18,68
CSE-AIML,9,7,23,68
COMPS,3,5,15,58
CSE-DS,5,6,17,66
COMPS,6,8,21,55
CSE-DS,6,6,15,66
CSE-AIML,8,7,22,56
CSE-AIML,6,8,19,43
COMPS,6,6,19,67
CSE-DS,7,7,22,55
EXTC,7,7,18,48
CSE-AIML,5,6,19,57
EXTC,5,6,19,62
EXTC,6,6,21,59
COMPS,8,7,21,84
COMPS,5,6,15,62
COMPS,9,9,27,74
CSE-DS,6,4,20,67
CSE-AIML,6,8,19,65
CSE-AIML,6,7,19,51
EXTC,7,8,21,70
COMPS,5,6,16,62
CSE-DS,7,8,23,73
CSE-AIML,7,5,18,56
