Branch,ISE 1 Marks,ISE 2 Marks,MSE Marks,ESE Marks
EXTC,7,8,20,72
EXTC,8,6,17,53
CSE-AIML,8,6,19,58
EXTC,8,7,21,62
EXTC,6,5,20,61
EXTC,8,9,25,68
CSE-AIML,7,6,18,62
CSE-AIML,5,7,18,62
COMPS,7,6,20,59
COMPS,8,6,21,80
EXTC,5,5,17,59
CSE-AIML,7,7,22,75
CSE-AIML,7,6,21,79
EXTC,6,5,19,61
COMPS,3,5,14,52
CSE-AIML,7,7,22,63
COMPS,7,6,21,70
EXTC,5,7,18,66
CSE-AIML,7,9,22,64
EXTC,6,6,20,51
CSE-DS,5,5,18,72
EXTC,6,6,19,70
EXTC,5,7,20,67
EXTC,7,8,17,63
CSE-AIML,6,4,17,68
EXTC,6,8,23,78
EXTC,9,8,24,58
CSE-DS,6,5,21,64
CSE-AIML,7,7,21,78
CSE-DS,6,7,18,50
EXTC,6,6,18,54
CSE-AIML,4,6,14,59
CSE-DS,7,5,18,54
EXTC,7,9,19,62
COMPS,6,8,21,59
CSE-DS,6,5,19,62
CSE-AIML,9,7,21,54
CSE-DS,4,4,15,58
CSE-DS,4,6,16,58
CSE-DS,9,8,23,61
COMPS,3,5,14,46
CSE-AIML,6,7,19,57
CSE-AIML,7,7,19,72
CSE-AIML,6,7,21,66
EXTC,8,7,20,66
CSE-AIML,5,7,18,58
CSE-AIML,6,4,16,57
COMPS,7,5,21,58
EXTC,8,7,20,76
EXTC,5,7,20,58
CSE-DS,9,7,23,70
EXTC,6,8,22,53
EXTC,8,6,22,75
COMPS,5,6,16,55
CSE-AIML,6,8,23,78
EXTC,6,6,16,50
EXTC,8,9,21,60
COMPS,6,7,18,63
EXTC,6,6,19,62
EXTC,6,6,18,57
COMPS,6,8,21,62
CSE-DS,8,6,22,69
CSE-DS,6,7,17,50
EXTC,5,7,21,82
EXTC,7,7,17,54
CSE-AIML,5,6,17,54
EXTC,4,6,15,56
CSE-AIML,10,8,20,61
CSE-DS,8,9,21,68
EXTC,6,6,22,55
EXTC,7,7,22,67
COMPS,7,6,20,60
EXTC,7,6,20,63
CSE-DS,8,6,18,69
EXTC,5,6,17,68
CSE-AIML,3,5,16,58
EXTC,6,7,20,68
CSE-AIML,7,7,20,62
COMPS,6,8,21,42
EXTC,7,7,20,60
COMPS,8,8,21,68
COMPS,5,4,14,59
EXTC,8,7,23,72
CSE-AIML,6,7,21,70
EXTC,8,8,23,76
CSE-AIML,6,5,17,52
COMPS,5,6,16,54
CSE-DS,4,6,17,52
EXTC,7,8,19,56
CSE-DS,5,5,18,58
CSE-AIML,6,4,18,50
EXTC,7,7,23,58
CSE-DS,2,4,16,66
CSE-DS,7,6,21,58
EXTC,7,7,22,87
CSE-DS,7,6,19,48
EXTC,5,6,17,59
CSE-DS,5,7,19,61
COMPS,6,7,21,58
EXTC,6,6,16,50
COMPS,6,8,21,66
COMPS,8,6,21,64
CSE-DS,7,6,15,54
CSE-AIML,9,8,25,81
COMPS,7,7,19,59
COMPS,7,8,21,62
COMPS,7,7,18,42
CSE-AIML,6,5,17,57
CSE-AIML,6,8,21,67
COMPS,7,5,20,62
CSE-AIML,8,6,18,66
CSE-AIML,7,5,17,66
CSE-AIML,5,7,17,63
EXTC,6,7,19,60
COMPS,7,5,20,59
CSE-AIML,6,5,13,50
EXTC,10,8,24,68
CSE-DS,7,7,19,70
CSE-DS,8,8,23,68
CSE-AIML,8,7,21,60
COMPS,7,9,20,52
CSE-AIML,7,7,21,66
CSE-DS,6,8,18,54
COMPS,6,4,16,69
COMPS,7,7,18,55
CSE-DS,6,6,21,69
EXTC,5,7,19,70
EXTC,9,7,21,56
CSE-AIML,6,7,21,64
COMPS,6,7,18,76
CSE-AIML,4,6,20,63
COMPS,6,6,18,70
CSE-DS,3,5,12,48
COMPS,6,7,17,61
COMPS,10,8,25,67
CSE-DS,7,7,19,65
EXTC,9,7,24,60
CSE-DS,5,7,21,68
COMPS,6,6,16,61
CSE-DS,8,6,20,65
COMPS,6,6,22,65
EXTC,6,6,20,62
EXTC,6,8,23,63
COMPS,4,6,15,60
EXTC,4,6,14,58
CSE-DS,7,5,18,65
EXTC,7,7,24,58
CSE-AIML,9,7,21,55
EXTC,6,8,20,74
CSE-AIML,4,6,14,56
CSE-DS,8,6,16,58
EXTC,7,7,23,60
EXTC,8,8,20,65
EXTC,6,6,19,58
CSE-DS,5,7,17,50
CSE-DS,8,6,22,70
CSE-AIML,4,5,17,51
COMPS,6,7,21,63
CSE-DS,6,8,23,75
EXTC,7,5,17,62
CSE-AIML,7,9,24,58
EXTC,8,6,20,65
EXTC,9,10,27,74
CSE-DS,7,8,21,78
COMPS,7,7,22,70
EXTC,8,6,20,55
CSE-DS,7,8,22,79
CSE-AIML,6,8,19,59
EXTC,8,8,22,66
CSE-AIML,4,6,18,64
CSE-DS,7,7,21,60
CSE-DS,8,7,22,63
CSE-DS,3,5,14,47
CSE-DS,8,6,22,71
CSE-DS,8,6,23,70
COMPS,6,7,17,61
CSE-AIML,5,4,13,60
COMPS,6,8,20,50
CSE-AIML,5,7,18,56
EXTC,7,7,22,77
EXTC,6,5,17,60
CSE-AIML,5,5,17,58
EXTC,7,5,18,53
EXTC,8,8,19,55
EXTC,4,6,16,46
COMPS,5,5,17,59
COMPS,5,7,18,58
CSE-DS,9,9,22,73
CSE-AIML,8,6,22,78
EXTC,5,5,18,62
CSE-AIML,7,7,21,55
CSE-DS,8,8,22,66
CSE-DS,4,6,17,58
EXTC,8,6,21,57
CSE-DS,6,6,19,59
EXTC,6,8,20,51
CSE-DS,9,9,22,72
CSE-DS,6,7,20,61
