Branch,ISE 1 Marks,ISE 2 Marks,MSE Marks,ESE Marks
COMPS,7,6,21,76
COMPS,6,6,21,70
CSE-DS,6,7,19,58
CSE-AIML,7,5,16,52
CSE-AIML,5,7,17,47
CSE-AIML,9,7,23,57
COMPS,6,7,18,62
COMPS,6,6,17,72
EXTC,6,5,19,52
COMPS,7,5,16,58
COMPS,8,7,21,62
COMPS,4,5,15,62
CSE-AIML,7,5,19,59
CSE-AIML,5,7,20,70
COMPS,5,6,18,67
CSE-AIML,6,6,17,49
EXTC,8,9,23,76
CSE-AIML,7,6,20,75
EXTC,6,8,16,63
CSE-DS,7,6,20,48
COMPS,6,7,22,63
CSE-AIML,5,6,19,64
EXTC,6,7,20,70
CSE-DS,5,6,17,47
CSE-DS,7,7,21,63
CSE-AIML,4,6,16,50
CSE-AIML,6,7,23,69
CSE-DS,7,6,16,56
COMPS,7,9,22,69
COMPS,6,5,19,67
EXTC,8,6,23,57
COMPS,7,9,21,60
CSE-DS,7,6,17,59
CSE-DS,5,7,17,70
CSE-DS,5,6,19,52
COMPS,7,8,19,63
EXTC,7,8,19,52
COMPS,7,7,21,68
EXTC,5,7,19,56
COMPS,9,7,21,70
CSE-DS,5,7,20,57
CSE-DS,8,7,23,82
CSE-AIML,6,5,16,50
COMPS,6,7,20,69
COMPS,7,9,22,87
CSE-AIML,7,5,17,62
CSE-DS,6,8,21,64
COMPS,5,4,15,61
CSE-AIML,7,5,19,64
COMPS,5,7,19,53
EXTC,7,7,22,74
CSE-DS,4,5,16,60
EXTC,7,9,23,77
CSE-DS,8,7,21,70
CSE-AIML,5,6,17,59
CSE-DS,10,8,26,61
CSE-DS,6,8,21,56
CSE-AIML,5,7,17,60
CSE-DS,7,6,23,73
COMPS,3,5,13,58
CSE-AIML,5,6,18,66
CSE-AIML,5,6,17,53
CSE-AIML,9,7,20,70
EXTC,10,8,22,63
EXTC,8,6,21,70
CSE-DS,5,6,12,42
CSE-AIML,6,5,20,52
CSE-DS,6,7,22,56
COMPS,8,7,20,66
CSE-AIML,7,6,20,60
COMPS,7,7,23,59
CSE-DS,10,8,24,74
EXTC,7,6,19,58
CSE-DS,6,8,21,60
COMPS,8,7,23,73
CSE-AIML,5,6,19,66
CSE-DS,6,7,22,62
CSE-AIML,7,6,19,70
EXTC,8,8,25,72
EXTC,8,6,21,64
EXTC,7,7,19,77
CSE-AIML,5,5,18,66
CSE-DS,7,7,20,56
CSE-AIML,7,5,20,62
CSE-AIML,5,6,18,56
CSE-DS,5,7,19,58
EXTC,6,7,17,47
EXTC,5,6,18,71
CSE-DS,8,6,20,55
CSE-AIML,6,6,19,55
CSE-AIML,7,9,22,70
EXTC,8,6,21,65
COMPS,7,5,19,65
COMPS,9,8,27,69
COMPS,8,7,25,65
CSE-AIML,5,6,14,49
CSE-AIML,5,7,19,76
EXTC,8,6,19,65
COMPS,5,7,20,59
EXTC,4,6,16,66
EXTC,4,6,17,58
EXTC,6,7,18,58
CSE-DS,7,7,22,58
COMPS,4,6,17,52
COMPS,9,7,24,70
CSE-DS,10,9,25,79
CSE-DS,7,9,21,70
COMPS,8,6,19,46
CSE-DS,6,8,23,69
EXTC,9,7,20,63
CSE-AIML,7,6,16,56
EXTC,5,7,19,54
COMPS,6,5,17,65
CSE-DS,5,7,18,54
CSE-AIML,6,5,17,49
COMPS,9,7,21,66
CSE-DS,6,6,20,69
CSE-AIML,6,6,18,42
CSE-AIML,4,6,19,60
CSE-DS,7,7,24,78
CSE-AIML,6,5,15,56
COMPS,5,4,14,45
CSE-DS,9,8,23,79
EXTC,7,5,21,69
COMPS,5,6,16,46
COMPS,8,9,21,69
CSE-DS,6,6,18,54
CSE-DS,7,5,19,61
CSE-AIML,6,5,17,64
COMPS,7,5,19,67
CSE-AIML,4,6,15,59
COMPS,5,4,13,52
COMPS,7,5,20,51
EXTC,6,5,16,57
COMPS,5,6,19,57
CSE-AIML,8,6,21,76
CSE-AIML,3,5,15,53
EXTC,7,6,20,62
CSE-AIML,8,7,22,63
CSE-DS,6,6,19,58
EXTC,7,9,24,68
CSE-AIML,8,6,17,50
CSE-AIML,4,6,17,71
CSE-DS,7,6,21,48
EXTC,7,8,19,70
CSE-DS,7,6,21,82
EXTC,7,7,20,57
EXTC,8,6,21,61
COMPS,7,7,22,63
CSE-AIML,6,5,17,61
CSE-AIML,8,6,22,77
COMPS,7,9,21,56
CSE-DS,4,6,18,60
COMPS,7,5,22,67
CSE-AIML,7,8,22,68
CSE-AIML,5,7,22,77
COMPS,9,7,21,64
COMPS,7,8,19,73
COMPS,6,6,17,46
CSE-AIML,8,7,19,52
COMPS,6,8,20,52
COMPS,6,6,14,53
CSE-DS,6,8,24,78
COMPS,6,5,21,65
CSE-AIML,7,6,20,62
CSE-DS,6,6,18,56
EXTC,5,7,18,71
CSE-AIML,3,5,17,42
CSE-AIML,6,6,16,51
EXTC,5,7,20,73
CSE-AIML,8,6,20,67
EXTC,5,7,18,57
EXTC,8,7,21,74
CSE-AIML,5,7,19,59
COMPS,7,5,20,62
COMPS,6,8,19,51
EXTC,4,6,14,66
CSE-DS,3,5,15,54
EXTC,6,7,19,70
EXTC,7,7,20,63
EXTC,7,5,16,62
COMPS,7,6,20,66
COMPS,6,5,18,52
COMPS,7,5,20,67
EXTC,7,8,24,78
CSE-DS,4,5,14,53
COMPS,7,5,19,56
CSE-AIML,6,4,15,44
CSE-AIML,5,7,17,78
CSE-AIML,7,7,19,67
EXTC,6,7,23,67
CSE-AIML,8,6,20,76
EXTC,6,8,22,62
CSE-AIML,7,8,23,56
CSE-DS,5,6,17,63
EXTC,7,5,19,66
CSE-AIML,7,8,23,71
COMPS,6,4,17,60
EXTC,7,5,17,66
COMPS,6,8,21,65
COMPS,8,6,21,62
COMPS,6,6,19,58
COMPS,8,6,20,60
CSE-AIML,9,7,24,58
CSE-AIML,7,8,22,74
EXTC,6,8,24,67
EXTC,6,8,23,64
EXTC,6,6,16,50
CSE-AIML,5,5,16,58
EXTC,9,7,24,68
COMPS,6,8,19,64
CSE-AIML,7,7,21,83
EXTC,6,6,17,54
COMPS,6,8,23,64
EXTC,5,7,18,64
CSE-DS,7,5,21,78
EXTC,6,6,19,64
CSE-DS,7,9,22,61
EXTC,4,5,15,68
EXTC,6,7,19,70
CSE-AIML,10,8,24,78
CSE-AIML,8,9,24,67
CSE-DS,7,8,23,72
CSE-AIML,8,8,25,76
COMPS,6,7,22,60
COMPS,7,6,20,73
CSE-DS,7,7,18,66
COMPS,7,9,22,68
COMPS,7,9,22,69
EXTC,7,7,20,64
CSE-AIML,8,6,21,60
COMPS,8,6,20,66
COMPS,9,7,22,81
CSE-AIML,4,3,14,49
COMPS,5,7,19,57
COMPS,5,7,20,62
CSE-AIML,9,7,20,58
EXTC,6,7,19,64
COMPS,5,7,18,68
CSE-AIML,7,7,21,68
COMPS,7,8,22,72
COMPS,6,8,19,75
EXTC,6,4,17,53
CSE-DS,8,6,20,49
CSE-DS,6,4,14,59
CSE-AIML,8,7,20,63
CSE-DS,6,5,20,70
CSE-AIML,6,7,20,48
CSE-DS,6,5,16,54
EXTC,9,7,22,71
CSE-AIML,9,8,24,65
CSE-DS,8,7,23,73
EXTC,8,6,23,69
CSE-DS,10,8,27,76
COMPS,6,6,18,63
COMPS,7,6,19,78
EXTC,9,7,23,69
COMPS,7,5,18,47
COMPS,7,7,20,75
CSE-AIML,5,4,16,64
CSE-DS,9,7,24,70
CSE-AIML,6,8,22,55
CSE-DS,9,9,23,71
COMPS,7,7,20,58
CSE-AIML,6,8,21,62
CSE-DS,8,6,22,53
CSE-DS,6,5,15,64
CSE-AIML,6,7,19,65
EXTC,7,5,20,59
CSE-DS,4,6,19,68
COMPS,6,6,18,76
CSE-DS,7,7,22,68
COMPS,6,6,18,60
CSE-AIML,8,7,23,67
CSE-DS,7,5,20,66
COMPS,8,6,24,68
COMPS,8,6,22,59
CSE-AIML,6,8,20,65
CSE-DS,8,7,22,69
CSE-DS,10,8,25,79
CSE-AIML,8,8,24,61
CSE-DS,9,7,23,62
CSE-AIML,6,7,20,66
CSE-DS,9,7,22,74
EXTC,8,6,21,70
CSE-DS,6,8,20,64
COMPS,6,7,18,49
COMPS,9,7,21,48
EXTC,6,5,20,71
CSE-DS,5,7,20,61
COMPS,3,5,12,38
COMPS,8,10,27,79
CSE-DS,7,8,23,70
CSE-AIML,7,6,18,58
CSE-DS,4,6,15,46
CSE-AIML,7,9,24,58
EXTC,5,7,17,56
EXTC,7,5,19,51
COMPS,6,7,17,61
COMPS,6,7,20,73
COMPS,7,6,20,67
CSE-AIML,7,7,19,57
COMPS,4,6,14,48
CSE-DS,5,7,18,69
CSE-AIML,5,7,17,74
EXTC,5,7,20,66
CSE-AIML,6,6,19,60
COMPS,8,10,24,60
CSE-DS,6,8,19,74
CSE-DS,9,7,23,80
COMPS,6,6,18,52
CSE-DS,6,5,18,54
CSE-AIML,7,5,19,68
CSE-AIML,4,6,19,52
COMPS,9,7,21,64
CSE-DS,7,7,21,58
EXTC,7,5,18,53
CSE-AIML,5,7,20,68
CSE-AIML,5,6,20,64
CSE-AIML,10,8,25,69
CSE-AIML,7,6,21,72
EXTC,5,5,13,55
COMPS,5,3,15,74
CSE-AIML,6,8,21,64
CSE-DS,8,6,21,67
EXTC,5,7,18,54
CSE-AIML,7,5,19,61
CSE-DS,8,7,21,71
CSE-AIML,9,7,23,58
COMPS,5,6,16,55
EXTC,7,7,20,67
COMPS,7,5,17,57
EXTC,5,7,21,74
CSE-AIML,6,8,21,62
CSE-AIML,6,6,18,61
EXTC,7,7,21,74
CSE-DS,8,6,16,64
CSE-DS,4,6,15,41
CSE-AIML,7,8,21,46
CSE-AIML,6,7,17,59
COMPS,6,7,20,56
CSE-AIML,8,6,20,56
EXTC,6,5,17,71
CSE-DS,4,4,17,56
CSE-DS,5,7,17,72
COMPS,8,6,24,65
CSE-DS,8,7,24,82
CSE-DS,7,5,19,56
EXTC,10,8,24,71
CSE-DS,4,5,18,55
COMPS,5,7,20,68
COMPS,8,6,18,71
CSE-DS,6,6,21,69
CSE-AIML,7,9,21,72
CSE-DS,7,7,23,72
COMPS,7,8,21,58
COMPS,5,4,19,53
EXTC,6,6,19,68
CSE-DS,8,6,20,65
CSE-DS,6,8,21,70
EXTC,7,8,22,57
COMPS,7,6,19,66
EXTC,8,7,22,79
CSE-AIML,7,9,23,55
CSE-DS,8,7,24,75
COMPS,6,5,17,52
EXTC,6,7,22,69
COMPS,5,7,20,58
CSE-AIML,6,7,18,64
CSE-DS,6,7,18,56
EXTC,8,6,23,65
COMPS,7,8,19,48
CSE-DS,4,6,16,76
CSE-DS,6,7,22,82
COMPS,10,8,26,77
CSE-DS,8,6,19,61
CSE-DS,6,6,20,70
EXTC,7,9,21,64
CSE-DS,5,4,15,54
EXTC,9,7,21,78
CSE-DS,8,7,21,58
CSE-AIML,6,8,24,82
CSE-AIML,6,5,18,46
EXTC,7,6,19,50
EXTC,7,6,18,38
CSE-AIML,6,8,23,65
CSE-DS,6,7,18,62
EXTC,8,8,22,65
COMPS,5,5,16,59
CSE-DS,8,6,23,66
CSE-DS,6,5,13,58
CSE-AIML,8,6,21,68
EXTC,4,6,18,50
CSE-DS,7,5,19,61
EXTC,4,6,15,48
EXTC,7,8,20,63
EXTC,7,8,22,64
CSE-AIML,5,7,17,36
EXTC,7,8,18,52
CSE-AIML,7,9,23,63
COMPS,6,8,19,56
CSE-DS,6,5,18,72
CSE-DS,7,6,19,50
COMPS,8,6,20,83
CSE-AIML,7,5,18,68
CSE-DS,7,5,20,58
CSE-AIML,9,8,23,78
CSE-AIML,7,8,22,60
CSE-AIML,6,8,20,60
COMPS,5,7,22,58
COMPS,7,9,22,70
CSE-AIML,5,7,18,67
EXTC,8,10,25,74
COMPS,7,6,20,61
